date,close,open,high,low,volume,Change %
2021-05-12,1441.33,1441.41,1444.98,1437.66,9223100000.0,-0.25
2021-05-11,1444.87,1447.96,1455.89,1438.38,24800000000.0,-1.1
2021-05-10,1460.9,1448.99,1462.47,1447.91,24900000000.000004,1.36
2021-05-07,1441.33,1432.25,1444.79,1423.39,40000000000.0,0.95
2021-05-06,1427.73,1422.56,1434.72,1422.56,22900000000.0,0.54
2021-05-05,1420.0,1419.58,1425.04,1409.33,17900000000.0,0.26
2021-05-04,1416.25,1423.21,1428.07,1411.0,22799999999.999996,-0.34
2021-05-03,1421.15,1400.15,1421.15,1400.15,19500000000.0,1.67
2021-04-30,1397.82,1399.05,1405.91,1396.49,18400000000.0,-0.26
2021-04-29,1401.52,1390.92,1406.51,1390.92,15500000000.0,1.13
2021-04-28,1385.91,1391.47,1394.64,1379.93,16900000000.0,-0.44
2021-04-27,1392.0,1381.73,1397.61,1381.73,18700000000.0,1.31
2021-04-26,1374.0,1343.85,1374.0,1343.58,19500000000.0,2.14
2021-04-22,1345.15,1320.16,1345.5,1309.23,20900000000.0,1.1
2021-04-21,1330.48,1363.87,1365.5,1308.52,23100000000.0,-2.55
2021-04-20,1365.27,1376.37,1385.88,1357.26,25600000000.0,-0.87
2021-04-19,1377.23,1409.85,1416.03,1377.23,24900000000.000004,-2.2
2021-04-16,1408.14,1405.5,1412.56,1400.49,23200000000.0,0.03
2021-04-15,1407.76,1409.76,1418.52,1398.28,41900000000.00001,-0.1
2021-04-14,1409.19,1380.71,1409.19,1380.71,26300000000.0,2.24
2021-04-13,1378.37,1380.11,1386.36,1352.74,28600000000.0,0.18
2021-04-12,1375.91,1393.47,1398.12,1374.67,23000000000.0,-1.24
2021-04-09,1393.24,1413.18,1414.95,1373.65,28700000000.0,-1.65
2021-04-08,1416.55,1422.22,1430.34,1415.06,21000000000.0,-0.09
2021-04-07,1417.89,1420.94,1422.48,1402.36,27799999999.999996,-0.19
2021-04-06,1420.59,1442.88,1445.13,1419.66,26500000000.0,-1.49
2021-04-05,1442.06,1428.99,1443.02,1428.88,25600000000.0,0.83
2021-04-02,1430.19,1434.91,1438.88,1423.51,21900000000.0,0.25
2021-04-01,1426.56,1399.34,1426.56,1399.34,31700000000.0,2.5
2021-03-31,1391.73,1397.47,1403.75,1389.86,23400000000.0,-0.29
2021-03-30,1395.79,1392.84,1400.77,1371.43,33500000000.0,0.23
2021-03-29,1392.57,1385.74,1398.89,1382.47,26700000000.0,0.75
2021-03-26,1382.15,1409.2,1412.35,1359.15,29500000000.0,-0.88
2021-03-25,1394.36,1416.99,1432.62,1394.19,35100000000.0,-1.38
2021-03-24,1413.86,1377.37,1421.93,1371.72,41200000000.0,2.64
2021-03-23,1377.43,1335.76,1402.99,1256.32,57400000000.0,-0.13
2021-03-22,1379.25,1491.99,1491.99,1378.56,19600000000.0,-9.79
2021-03-19,1528.99,1548.53,1553.93,1511.29,31900000000.0,-1.41
2021-03-18,1550.93,1567.79,1574.56,1548.24,35700000000.0,-0.72
